BHID,DM,XCOLLAR,YCOLLAR,ZCOLLAR,YEAR,ZCONVERS,DEPTH,DATUMZON,SURVMETH,PROSPECT,SELMOD,STARTDATE,ENDDATE,COMMENTS,BHIDNICK,CHKLITHO,CHKASSAY,CHKSURVE
BAU-MIL5-FD0403,803503_1971,185363.5,9640750.75,132.28,2004,NONE,15.65,SAD69_23S,SURV,MIL5,MIL5,30_09_2004,30_09_2004,,MIL5-FD0403,BAU-MIL5-FD0403,BAU-MIL5-FD0403,BAU-MIL5-FD0403
BAU-MIL5-FD0404,803503_1971,184563.81,9640750.68,131.87,2004,NONE,19.1,SAD69_23S,SURV,MIL5,MIL5,30_09_2004,30_09_2004,,MIL5-FD0404,BAU-MIL5-FD0404,BAU-MIL5-FD0404,BAU-MIL5-FD0404
BAU-MIL5-FD0405,803503_1971,183763.32,9640751.75,127.1,2004,NONE,15.8,SAD69_23S,SURV,MIL5,MIL5,29_09_2004,29_09_2004,,MIL5-FD0405,BAU-MIL5-FD0405,BAU-MIL5-FD0405,BAU-MIL5-FD0405
BAU-MIL5-FD0406,803503_1971,182963.2,9640741.97,124.626,2004,NONE,14.7,SAD69_23S,SURV,MIL5,MIL5,29_09_2004,29_09_2004,,MIL5-FD0406,BAU-MIL5-FD0406,BAU-MIL5-FD0406,BAU-MIL5-FD0406
BAU-MIL5-FD0407,803503_1971,185763.75,9640358.8,132.25,2004,NONE,15.7,SAD69_23S,SURV,MIL5,MIL5,25_09_2004,25_09_2004,,MIL5-FD0407,BAU-MIL5-FD0407,BAU-MIL5-FD0407,BAU-MIL5-FD0407
BAU-MIL5-FD0408,803503_1971,181361.77,9640750.71,120.35,2004,NONE,11.45,SAD69_23S,SURV,MIL5,MIL5,29_09_2004,29_09_2004,,MIL5-FD0408,BAU-MIL5-FD0408,BAU-MIL5-FD0408,BAU-MIL5-FD0408
BAU-MIL5-FD0409,803503_1971,186165.14,9640350.43,133.32,2004,NONE,19.8,SAD69_23S,SURV,MIL5,MIL5,30_09_2004,30_09_2004,,MIL5-FD0409,BAU-MIL5-FD0409,BAU-MIL5-FD0409,BAU-MIL5-FD0409
BAU-MIL5-FD0410,803503_1971,186566.39,9640350.57,134.13,2004,NONE,15.3,SAD69_23S,SURV,MIL5,MIL5,01_10_2004,01_10_2004,,MIL5-FD0410,BAU-MIL5-FD0410,BAU-MIL5-FD0410,BAU-MIL5-FD0410
BAU-MIL5-FD0411,803503_1971,186963.39,9640350.12,133.55,2004,NONE,15.7,SAD69_23S,SURV,MIL5,MIL5,01_10_2004,01_10_2004,,MIL5-FD0411,BAU-MIL5-FD0411,BAU-MIL5-FD0411,BAU-MIL5-FD0411
BAU-MIL5-FD0412,803503_1971,187360.1,9640349.92,134.59,2004,NONE,16.0,SAD69_23S,SURV,MIL5,MIL5,02_10_2004,02_10_2004,,MIL5-FD0412,BAU-MIL5-FD0412,BAU-MIL5-FD0412,BAU-MIL5-FD0412
BAU-MIL5-FD0413,803503_1971,187760.51,9640348.92,132.6,2004,NONE,12.55,SAD69_23S,SURV,MIL5,MIL5,02_10_2004,02_10_2004,,MIL5-FD0413,BAU-MIL5-FD0413,BAU-MIL5-FD0413,BAU-MIL5-FD0413
BAU-MIL5-FD0414,803503_1971,188162.12,9640348.01,127.01,2004,NONE,13.15,SAD69_23S,SURV,MIL5,MIL5,04_10_2004,04_10_2004,,MIL5-FD0414,BAU-MIL5-FD0414,BAU-MIL5-FD0414,BAU-MIL5-FD0414
BAU-MIL5-FD0415,803503_1971,188564.16,9640347.65,117.32,2004,NONE,7.4,SAD69_23S,SURV,MIL5,MIL5,04_10_2004,04_10_2004,,MIL5-FD0415,BAU-MIL5-FD0415,BAU-MIL5-FD0415,BAU-MIL5-FD0415
BAU-MIL5-FD0416,803503_1971,185361.96,9642750.78,132.11,2004,NONE,16.0,SAD69_23S,SURV,MIL5,MIL5,05_10_2004,05_10_2004,,MIL5-FD0416,BAU-MIL5-FD0416,BAU-MIL5-FD0416,BAU-MIL5-FD0416
BAU-MIL5-FD0417,803503_1971,184961.86,9642750.81,133.52,2004,NONE,14.75,SAD69_23S,SURV,MIL5,MIL5,05_10_2004,05_10_2004,,MIL5-FD0417,BAU-MIL5-FD0417,BAU-MIL5-FD0417,BAU-MIL5-FD0417
BAU-MIL5-FD0418,803503_1971,184559.96,9642750.83,132.1,2004,NONE,14.45,SAD69_23S,SURV,MIL5,MIL5,05_10_2004,05_10_2004,,MIL5-FD0418,BAU-MIL5-FD0418,BAU-MIL5-FD0418,BAU-MIL5-FD0418
BAU-MIL5-FD0419,803503_1971,184167.82,9642750.85,129.35,2004,NONE,13.4,SAD69_23S,SURV,MIL5,MIL5,05_10_2004,05_10_2004,,MIL5-FD0419,BAU-MIL5-FD0419,BAU-MIL5-FD0419,BAU-MIL5-FD0419
BAU-MIL5-FD0420,803503_1971,183767.94,9642750.87,127.59,2004,NONE,10.05,SAD69_23S,SURV,MIL5,MIL5,05_10_2004,05_10_2004,,MIL5-FD0420,BAU-MIL5-FD0420,BAU-MIL5-FD0420,BAU-MIL5-FD0420
BAU-MIL5-FD0421,803503_1971,183361.66,9642750.89,125.39,2004,NONE,15.35,SAD69_23S,SURV,MIL5,MIL5,15_10_2004,15_10_2004,,MIL5-FD0421,BAU-MIL5-FD0421,BAU-MIL5-FD0421,BAU-MIL5-FD0421
BAU-MIL5-FD0422,803503_1971,185362.96,9640350.87,132.52,2004,NONE,17.55,SAD69_23S,SURV,MIL5,MIL5,06_10_2004,06_10_2004,,MIL5-FD0422,BAU-MIL5-FD0422,BAU-MIL5-FD0422,BAU-MIL5-FD0422
BAU-MIL5-FD0423,803503_1971,184964.31,9640350.97,132.29,2004,NONE,17.65,SAD69_23S,SURV,MIL5,MIL5,06_10_2004,06_10_2004,,MIL5-FD0423,BAU-MIL5-FD0423,BAU-MIL5-FD0423,BAU-MIL5-FD0423
BAU-MIL5-FD0424,803503_1971,184559.53,9640351.1,130.75,2004,NONE,12.05,SAD69_23S,SURV,MIL5,MIL5,06_10_2004,06_10_2004,,MIL5-FD0424,BAU-MIL5-FD0424,BAU-MIL5-FD0424,BAU-MIL5-FD0424
BAU-MIL5-FD0425,803503_1971,188962.1,9640347.7,118.83,2004,NONE,9.9,SAD69_23S,SURV,MIL5,MIL5,08_10_2004,08_10_2004,,MIL5-FD0425,BAU-MIL5-FD0425,BAU-MIL5-FD0425,BAU-MIL5-FD0425
BAU-MIL5-FD0426,803503_1971,189363.32,9640345.52,117.67,2004,NONE,7.65,SAD69_23S,SURV,MIL5,MIL5,08_10_2004,08_10_2004,,MIL5-FD0426,BAU-MIL5-FD0426,BAU-MIL5-FD0426,BAU-MIL5-FD0426
BAU-MIL5-FD0427,803503_1971,189760.96,9640346.86,119.99,2004,NONE,6.7,SAD69_23S,SURV,MIL5,MIL5,07_10_2004,07_10_2004,,MIL5-FD0427,BAU-MIL5-FD0427,BAU-MIL5-FD0427,BAU-MIL5-FD0427
BAU-MIL5-FD0428,803503_1971,190165.95,9640346.4,119.67,2004,NONE,6.5,SAD69_23S,SURV,MIL5,MIL5,07_10_2004,07_10_2004,,MIL5-FD0428,BAU-MIL5-FD0428,BAU-MIL5-FD0428,BAU-MIL5-FD0428
BAU-MIL5-FD0429,803503_1971,184165.17,9640351.2,124.51,2004,NONE,11.5,SAD69_23S,SURV,MIL5,MIL5,08_10_2004,08_10_2004,,MIL5-FD0429,BAU-MIL5-FD0429,BAU-MIL5-FD0429,BAU-MIL5-FD0429
BAU-MIL5-FD0430,803503_1971,183764.91,9640351.35,122.16,2004,NONE,13.55,SAD69_23S,SURV,MIL5,MIL5,08_10_2004,08_10_2004,,MIL5-FD0430,BAU-MIL5-FD0430,BAU-MIL5-FD0430,BAU-MIL5-FD0430
BAU-MIL5-FD0431,803503_1971,183360.32,9640350.6,123.56,2004,NONE,11.75,SAD69_23S,SURV,MIL5,MIL5,09_10_2004,09_10_2004,,MIL5-FD0431,BAU-MIL5-FD0431,BAU-MIL5-FD0431,BAU-MIL5-FD0431
BAU-MIL5-FD0432,803503_1971,182959.13,9640352.01,120.64,2004,NONE,10.75,SAD69_23S,SURV,MIL5,MIL5,09_10_2004,09_10_2004,,MIL5-FD0432,BAU-MIL5-FD0432,BAU-MIL5-FD0432,BAU-MIL5-FD0432
BAU-MIL5-FD0433,803503_1971,182549.36,9640351.86,116.76,2004,NONE,10.3,SAD69_23S,SURV,MIL5,MIL5,09_10_2004,09_10_2004,,MIL5-FD0433,BAU-MIL5-FD0433,BAU-MIL5-FD0433,BAU-MIL5-FD0433
BAU-MIL5-FD0434,803503_1971,186153.91,9641150.67,134.87,2004,NONE,14.0,SAD69_23S,SURV,MIL5,MIL5,11_10_2004,11_10_2004,,MIL5-FD0434,BAU-MIL5-FD0434,BAU-MIL5-FD0434,BAU-MIL5-FD0434
BAU-MIL5-FD0435,803503_1971,186563.91,9641150.47,135.22,2004,NONE,15.0,SAD69_23S,SURV,MIL5,MIL5,12_10_2004,12_10_2004,,MIL5-FD0435,BAU-MIL5-FD0435,BAU-MIL5-FD0435,BAU-MIL5-FD0435
BAU-MIL5-FD0436,803503_1971,186965.16,9641150.26,136.44,2004,NONE,16.7,SAD69_23S,SURV,MIL5,MIL5,12_10_2004,12_10_2004,,MIL5-FD0436,BAU-MIL5-FD0436,BAU-MIL5-FD0436,BAU-MIL5-FD0436
BAU-MIL5-FD0437,803503_1971,187365.97,9641150.71,135.32,2004,NONE,15.65,SAD69_23S,SURV,MIL5,MIL5,12_10_2004,12_10_2004,,MIL5-FD0437,BAU-MIL5-FD0437,BAU-MIL5-FD0437,BAU-MIL5-FD0437
BAU-MIL5-FD0438,803503_1971,187759.62,9641149.85,134.6,2004,NONE,16.9,SAD69_23S,SURV,MIL5,MIL5,12_10_2004,12_10_2004,,MIL5-FD0438,BAU-MIL5-FD0438,BAU-MIL5-FD0438,BAU-MIL5-FD0438
BAU-MIL5-FD0439,803503_1971,188160.51,9641149.09,132.12,2004,NONE,15.5,SAD69_23S,SURV,MIL5,MIL5,12_10_2004,12_10_2004,,MIL5-FD0439,BAU-MIL5-FD0439,BAU-MIL5-FD0439,BAU-MIL5-FD0439
BAU-MIL5-FD0440,803503_1971,188561.62,9641149.94,128.69,2004,NONE,16.05,SAD69_23S,SURV,MIL5,MIL5,12_10_2004,12_10_2004,,MIL5-FD0440,BAU-MIL5-FD0440,BAU-MIL5-FD0440,BAU-MIL5-FD0440
BAU-MIL5-FD0441,803503_1971,188960.77,9641148.42,123.22,2004,NONE,14.25,SAD69_23S,SURV,MIL5,MIL5,13_10_2004,13_10_2004,,MIL5-FD0441,BAU-MIL5-FD0441,BAU-MIL5-FD0441,BAU-MIL5-FD0441
BAU-MIL5-FD0442,803503_1971,186166.86,9641951.19,132.79,2004,NONE,14.25,SAD69_23S,SURV,MIL5,MIL5,13_10_2004,13_10_2004,,MIL5-FD0442,BAU-MIL5-FD0442,BAU-MIL5-FD0442,BAU-MIL5-FD0442
BAU-MIL5-FD0443,803503_1971,186569.8,9641950.8,132.42,2004,NONE,14.7,SAD69_23S,SURV,MIL5,MIL5,13_10_2004,13_10_2004,,MIL5-FD0443,BAU-MIL5-FD0443,BAU-MIL5-FD0443,BAU-MIL5-FD0443
BAU-MIL5-FD0444,803503_1971,186959.57,9641950.79,131.25,2004,NONE,18.65,SAD69_23S,SURV,MIL5,MIL5,13_10_2004,13_10_2004,,MIL5-FD0444,BAU-MIL5-FD0444,BAU-MIL5-FD0444,BAU-MIL5-FD0444
BAU-MIL5-FD0445,803503_1971,187371.71,9641950.73,130.51,2004,NONE,20.35,SAD69_23S,SURV,MIL5,MIL5,13_10_2004,13_10_2004,,MIL5-FD0445,BAU-MIL5-FD0445,BAU-MIL5-FD0445,BAU-MIL5-FD0445
BAU-MIL5-FD0446,803503_1971,187767.48,9641950.71,129.51,2004,NONE,14.6,SAD69_23S,SURV,MIL5,MIL5,13_10_2004,13_10_2004,,MIL5-FD0446,BAU-MIL5-FD0446,BAU-MIL5-FD0446,BAU-MIL5-FD0446
BAU-MIL5-FD0447,803503_1971,188174.59,9641950.63,128.16,2004,NONE,11.4,SAD69_23S,SURV,MIL5,MIL5,13_10_2004,13_10_2004,,MIL5-FD0447,BAU-MIL5-FD0447,BAU-MIL5-FD0447,BAU-MIL5-FD0447
BAU-MIL5-FD0448,803503_1971,188559.06,9641950.52,126.52,2004,NONE,12.1,SAD69_23S,SURV,MIL5,MIL5,13_10_2004,13_10_2004,,MIL5-FD0448,BAU-MIL5-FD0448,BAU-MIL5-FD0448,BAU-MIL5-FD0448
BAU-MIL5-FD0449,803503_1971,188963.63,9641950.93,124.36,2004,NONE,15.25,SAD69_23S,SURV,MIL5,MIL5,14_10_2004,14_10_2004,,MIL5-FD0449,BAU-MIL5-FD0449,BAU-MIL5-FD0449,BAU-MIL5-FD0449
BAU-MIL5-FD0450,803503_1971,189360.53,9641950.94,123.0,2004,NONE,14.85,SAD69_23S,SURV,MIL5,MIL5,14_10_2004,14_10_2004,,MIL5-FD0450,BAU-MIL5-FD0450,BAU-MIL5-FD0450,BAU-MIL5-FD0450
BAU-MIL5-FD0451,803503_1971,188959.51,9642350.84,122.71,2004,NONE,7.1,SAD69_23S,SURV,MIL5,MIL5,14_10_2004,14_10_2004,,MIL5-FD0451,BAU-MIL5-FD0451,BAU-MIL5-FD0451,BAU-MIL5-FD0451
BAU-MIL5-FD0452,803503_1971,189338.95,9642350.79,126.991,2004,NONE,10.5,SAD69_23S,SURV,MIL5,MIL5,14_10_2004,14_10_2004,,MIL5-FD0452,BAU-MIL5-FD0452,BAU-MIL5-FD0452,BAU-MIL5-FD0452
BAU-MIL5-FD0453,803503_1971,186161.21,9642750.72,129.08,2004,NONE,15.9,SAD69_23S,SURV,MIL5,MIL5,21_10_2004,21_10_2004,,MIL5-FD0453,BAU-MIL5-FD0453,BAU-MIL5-FD0453,BAU-MIL5-FD0453
BAU-MIL5-FD0454,803503_1971,186561.76,9642750.7,126.73,2004,NONE,15.15,SAD69_23S,SURV,MIL5,MIL5,14_10_2004,14_10_2004,,MIL5-FD0454,BAU-MIL5-FD0454,BAU-MIL5-FD0454,BAU-MIL5-FD0454
BAU-MIL5-FD0455,803503_1971,186967.76,9642750.68,126.46,2004,NONE,12.85,SAD69_23S,SURV,MIL5,MIL5,14_10_2004,14_10_2004,,MIL5-FD0455,BAU-MIL5-FD0455,BAU-MIL5-FD0455,BAU-MIL5-FD0455
BAU-MIL5-FD0456,803503_1971,187362.55,9642750.66,127.57,2004,NONE,14.2,SAD69_23S,SURV,MIL5,MIL5,15_10_2004,15_10_2004,,MIL5-FD0456,BAU-MIL5-FD0456,BAU-MIL5-FD0456,BAU-MIL5-FD0456
BAU-MIL5-FD0457,803503_1971,187780.74,9642750.64,118.27,2004,NONE,7.6,SAD69_23S,SURV,MIL5,MIL5,15_10_2004,15_10_2004,,MIL5-FD0457,BAU-MIL5-FD0457,BAU-MIL5-FD0457,BAU-MIL5-FD0457
BAU-MIL5-FD0458,803503_1971,182969.59,9642750.91,124.76,2004,NONE,15.1,SAD69_23S,SURV,MIL5,MIL5,15_10_2004,15_10_2004,,MIL5-FD0458,BAU-MIL5-FD0458,BAU-MIL5-FD0458,BAU-MIL5-FD0458
BAU-MIL5-FD0459,803503_1971,182569.73,9642750.93,123.62,2004,NONE,15.3,SAD69_23S,SURV,MIL5,MIL5,15_10_2004,15_10_2004,,MIL5-FD0459,BAU-MIL5-FD0459,BAU-MIL5-FD0459,BAU-MIL5-FD0459
BAU-MIL5-FD0460,803503_1971,182155.51,9642750.94,122.5,2004,NONE,15.65,SAD69_23S,SURV,MIL5,MIL5,15_10_2004,15_10_2004,,MIL5-FD0460,BAU-MIL5-FD0460,BAU-MIL5-FD0460,BAU-MIL5-FD0460
BAU-MIL5-FD0461,803503_1971,181758.35,9642750.95,122.44,2004,NONE,14.1,SAD69_23S,SURV,MIL5,MIL5,15_10_2004,15_10_2004,,MIL5-FD0461,BAU-MIL5-FD0461,BAU-MIL5-FD0461,BAU-MIL5-FD0461
BAU-MIL5-FD0462,803503_1971,181361.83,9642750.96,122.02,2004,NONE,17.3,SAD69_23S,SURV,MIL5,MIL5,15_10_2004,15_10_2004,,MIL5-FD0462,BAU-MIL5-FD0462,BAU-MIL5-FD0462,BAU-MIL5-FD0462
BAU-MIL5-FD0469,803503_1971,185363.64,9641952.33,131.15,2004,NONE,15.3,SAD69_23S,SURV,MIL5,MIL5,19_10_2004,19_10_2004,,MIL5-FD0469,BAU-MIL5-FD0469,BAU-MIL5-FD0469,BAU-MIL5-FD0469
BAU-MIL5-FD0470,803503_1971,184965.7,9641949.66,129.86,2004,NONE,17.35,SAD69_23S,SURV,MIL5,MIL5,19_10_2004,19_10_2004,,MIL5-FD0470,BAU-MIL5-FD0470,BAU-MIL5-FD0470,BAU-MIL5-FD0470
BAU-MIL5-FD0471,803503_1971,184568.6,9641950.69,129.93,2004,NONE,17.0,SAD69_23S,SURV,MIL5,MIL5,19_10_2004,19_10_2004,,MIL5-FD0471,BAU-MIL5-FD0471,BAU-MIL5-FD0471,BAU-MIL5-FD0471
BAU-MIL5-FD0472,803503_1971,184171.25,9641950.66,129.66,2004,NONE,15.9,SAD69_23S,SURV,MIL5,MIL5,19_10_2004,19_10_2004,,MIL5-FD0472,BAU-MIL5-FD0472,BAU-MIL5-FD0472,BAU-MIL5-FD0472
BAU-MIL5-FD0473,803503_1971,183762.86,9641950.63,130.76,2004,NONE,14.4,SAD69_23S,SURV,MIL5,MIL5,19_10_2004,19_10_2004,,MIL5-FD0473,BAU-MIL5-FD0473,BAU-MIL5-FD0473,BAU-MIL5-FD0473
BAU-MIL5-FD0474,803503_1971,183375.61,9641950.09,130.78,2004,NONE,12.2,SAD69_23S,SURV,MIL5,MIL5,19_10_2004,19_10_2004,,MIL5-FD0474,BAU-MIL5-FD0474,BAU-MIL5-FD0474,BAU-MIL5-FD0474
BAU-MIL5-FD0475,803503_1971,182969.88,9641950.63,129.16,2004,NONE,15.7,SAD69_23S,SURV,MIL5,MIL5,18_10_2004,18_10_2004,,MIL5-FD0475,BAU-MIL5-FD0475,BAU-MIL5-FD0475,BAU-MIL5-FD0475
BAU-MIL5-FD0476,803503_1971,182566.65,9641950.62,127.07,2004,NONE,14.6,SAD69_23S,SURV,MIL5,MIL5,18_10_2004,18_10_2004,,MIL5-FD0476,BAU-MIL5-FD0476,BAU-MIL5-FD0476,BAU-MIL5-FD0476
BAU-MIL5-FD0477,803503_1971,182159.67,9641950.3,126.12,2004,NONE,15.15,SAD69_23S,SURV,MIL5,MIL5,18_10_2004,18_10_2004,,MIL5-FD0477,BAU-MIL5-FD0477,BAU-MIL5-FD0477,BAU-MIL5-FD0477
BAU-MIL5-FD0478,803503_1971,181762.99,9641950.61,125.68,2004,NONE,13.75,SAD69_23S,SURV,MIL5,MIL5,18_10_2004,18_10_2004,,MIL5-FD0478,BAU-MIL5-FD0478,BAU-MIL5-FD0478,BAU-MIL5-FD0478
BAU-MIL5-FD0479,803503_1971,181357.46,9641949.67,124.36,2004,NONE,16.3,SAD69_23S,SURV,MIL5,MIL5,18_10_2004,18_10_2004,,MIL5-FD0479,BAU-MIL5-FD0479,BAU-MIL5-FD0479,BAU-MIL5-FD0479
BAU-MIL5-FD0486,803503_1971,185360.07,9641150.78,132.24,2004,NONE,17.2,SAD69_23S,SURV,MIL5,MIL5,20_10_2004,20_10_2004,,MIL5-FD0486,BAU-MIL5-FD0486,BAU-MIL5-FD0486,BAU-MIL5-FD0486
BAU-MIL5-FD0487,803503_1971,184967.81,9641150.99,132.4,2004,NONE,13.35,SAD69_23S,SURV,MIL5,MIL5,17_10_2004,17_10_2004,,MIL5-FD0487,BAU-MIL5-FD0487,BAU-MIL5-FD0487,BAU-MIL5-FD0487
BAU-MIL5-FD0488,803503_1971,184563.16,9641150.15,131.57,2004,NONE,13.2,SAD69_23S,SURV,MIL5,MIL5,17_10_2004,17_10_2004,,MIL5-FD0488,BAU-MIL5-FD0488,BAU-MIL5-FD0488,BAU-MIL5-FD0488
BAU-MIL5-FD0489,803503_1971,184171.55,9641150.38,130.51,2004,NONE,16.4,SAD69_23S,SURV,MIL5,MIL5,18_10_2004,18_10_2004,,MIL5-FD0489,BAU-MIL5-FD0489,BAU-MIL5-FD0489,BAU-MIL5-FD0489
BAU-MIL5-FD0490,803503_1971,183765.98,9641151.37,128.34,2004,NONE,13.85,SAD69_23S,SURV,MIL5,MIL5,18_10_2004,18_10_2004,,MIL5-FD0490,BAU-MIL5-FD0490,BAU-MIL5-FD0490,BAU-MIL5-FD0490
BAU-MIL5-FD0491,803503_1971,183366.37,9641151.51,125.85,2004,NONE,15.45,SAD69_23S,SURV,MIL5,MIL5,18_10_2004,18_10_2004,,MIL5-FD0491,BAU-MIL5-FD0491,BAU-MIL5-FD0491,BAU-MIL5-FD0491
BAU-MIL5-FD0492,803503_1971,182945.37,9641151.65,119.67,2004,NONE,12.85,SAD69_23S,SURV,MIL5,MIL5,18_10_2004,18_10_2004,,MIL5-FD0492,BAU-MIL5-FD0492,BAU-MIL5-FD0492,BAU-MIL5-FD0492
BAU-MIL5-FD0493,803503_1971,182566.85,9641152.79,112.47,2004,NONE,7.7,SAD69_23S,SURV,MIL5,MIL5,19_10_2004,19_10_2004,,MIL5-FD0493,BAU-MIL5-FD0493,BAU-MIL5-FD0493,BAU-MIL5-FD0493
BAU-MIL5-FD0494,803503_1971,182162.94,9641149.4,112.47,2004,NONE,6.35,SAD69_23S,SURV,MIL5,MIL5,19_10_2004,19_10_2004,,MIL5-FD0494,BAU-MIL5-FD0494,BAU-MIL5-FD0494,BAU-MIL5-FD0494
BAU-MIL5-FD0495,803503_1971,181766.49,9641149.22,122.4,2004,NONE,11.85,SAD69_23S,SURV,MIL5,MIL5,27_10_2004,27_10_2004,,MIL5-FD0495,BAU-MIL5-FD0495,BAU-MIL5-FD0495,BAU-MIL5-FD0495
BAU-MIL5-FD0496,803503_1971,181357.97,9641149.04,126.08,2004,NONE,13.85,SAD69_23S,SURV,MIL5,MIL5,19_10_2004,19_10_2004,,MIL5-FD0496,BAU-MIL5-FD0496,BAU-MIL5-FD0496,BAU-MIL5-FD0496
BAU-MIL5-FD0503,803503_1971,188585.0,9642750.9,79.65,2004,NONE,3.8,SAD69_23S,SURV,MIL5,MIL5,20_10_2004,20_10_2004,Furo negativo. Não houve material amostrado.,MIL5-FD0503,Sem litho,Sem Assay,BAU-MIL5-FD0503
BAU-MIL5-FD0504,803503_1971,188958.73,9642751.04,115.99,2004,NONE,6.5,SAD69_23S,SURV,MIL5,MIL5,20_10_2004,20_10_2004,,MIL5-FD0504,BAU-MIL5-FD0504,BAU-MIL5-FD0504,BAU-MIL5-FD0504
BAU-MIL5-FD0505,803503_1971,189758.04,9641950.21,124.59,2004,NONE,15.35,SAD69_23S,SURV,MIL5,MIL5,19_10_2004,19_10_2004,,MIL5-FD0505,BAU-MIL5-FD0505,BAU-MIL5-FD0505,BAU-MIL5-FD0505
BAU-MIL5-FD0506,803503_1971,190160.95,9641950.14,119.0,2004,NONE,13.0,SAD69_23S,SURV,MIL5,MIL5,20_10_2004,20_10_2004,,MIL5-FD0506,BAU-MIL5-FD0506,BAU-MIL5-FD0506,BAU-MIL5-FD0506
BAU-MIL5-FD0507,803503_1971,190556.53,9641949.35,102.41,2004,NONE,6.5,SAD69_23S,SURV,MIL5,MIL5,20_10_2004,20_10_2004,,MIL5-FD0507,BAU-MIL5-FD0507,BAU-MIL5-FD0507,BAU-MIL5-FD0507
BAU-MIL5-FD0508,803503_1971,189769.55,9641554.47,112.37,2004,NONE,7.6,SAD69_23S,SURV,MIL5,MIL5,20_10_2004,20_10_2004,,MIL5-FD0508,BAU-MIL5-FD0508,BAU-MIL5-FD0508,BAU-MIL5-FD0508
BAU-MIL5-FD0509,803503_1971,189762.93,9641148.67,110.15,2004,NONE,5.1,SAD69_23S,SURV,MIL5,MIL5,20_10_2004,20_10_2004,,MIL5-FD0509,BAU-MIL5-FD0509,BAU-MIL5-FD0509,BAU-MIL5-FD0509
BAU-MIL5-FD0510,803503_1971,189765.54,9640752.41,124.17,2004,NONE,14.25,SAD69_23S,SURV,MIL5,MIL5,20_10_2004,20_10_2004,,MIL5-FD0510,BAU-MIL5-FD0510,BAU-MIL5-FD0510,BAU-MIL5-FD0510
BAU-MIL5-FD0511,803503_1971,190163.71,9640752.51,127.95,2004,NONE,12.95,SAD69_23S,SURV,MIL5,MIL5,20_10_2004,20_10_2004,,MIL5-FD0511,BAU-MIL5-FD0511,BAU-MIL5-FD0511,BAU-MIL5-FD0511
BAU-MIL5-FD0512,803503_1971,190556.23,9640751.84,125.9,2004,NONE,13.1,SAD69_23S,SURV,MIL5,MIL5,20_10_2004,20_10_2004,,MIL5-FD0512,BAU-MIL5-FD0512,BAU-MIL5-FD0512,BAU-MIL5-FD0512
BAU-MIL5-FD0513,803503_1971,190963.2,9640752.49,110.46,2004,NONE,6.95,SAD69_23S,SURV,MIL5,MIL5,21_10_2004,21_10_2004,,MIL5-FD0513,BAU-MIL5-FD0513,BAU-MIL5-FD0513,BAU-MIL5-FD0513
BAU-MIL5-FD0514,803503_1971,185568.7,9636751.27,142.65,2004,NONE,16.6,SAD69_23S,SURV,MIL5,MIL5,21_10_2004,21_10_2004,,MIL5-FD0514,BAU-MIL5-FD0514,BAU-MIL5-FD0514,BAU-MIL5-FD0514
BAU-MIL5-FD0515,803503_1971,185965.49,9636750.97,144.06,2004,NONE,17.15,SAD69_23S,SURV,MIL5,MIL5,21_10_2004,21_10_2004,,MIL5-FD0515,BAU-MIL5-FD0515,BAU-MIL5-FD0515,BAU-MIL5-FD0515
BAU-MIL5-FD0516,803503_1971,186361.91,9636751.32,144.36,2004,NONE,15.55,SAD69_23S,SURV,MIL5,MIL5,21_10_2004,21_10_2004,,MIL5-FD0516,BAU-MIL5-FD0516,BAU-MIL5-FD0516,BAU-MIL5-FD0516
BAU-MIL5-FD0517,803503_1971,186759.28,9636751.38,140.84,2004,NONE,14.35,SAD69_23S,SURV,MIL5,MIL5,21_10_2004,21_10_2004,,MIL5-FD0517,BAU-MIL5-FD0517,BAU-MIL5-FD0517,BAU-MIL5-FD0517
BAU-MIL5-FD0518,803503_1971,187161.88,9636750.14,130.73,2004,NONE,6.3,SAD69_23S,SURV,MIL5,MIL5,26_10_2004,26_10_2004,,MIL5-FD0518,BAU-MIL5-FD0518,BAU-MIL5-FD0518,BAU-MIL5-FD0518
BAU-MIL5-FD0519,803503_1971,187558.27,9636751.27,134.35,2004,NONE,8.75,SAD69_23S,SURV,MIL5,MIL5,25_10_2004,25_10_2004,,MIL5-FD0519,BAU-MIL5-FD0519,BAU-MIL5-FD0519,BAU-MIL5-FD0519
BAU-MIL5-FD0520,803503_1971,187963.2,9636751.03,139.42,2004,NONE,12.5,SAD69_23S,SURV,MIL5,MIL5,26_10_2004,26_10_2004,,MIL5-FD0520,BAU-MIL5-FD0520,BAU-MIL5-FD0520,BAU-MIL5-FD0520
BAU-MIL5-FD0521,803503_1971,188366.72,9636750.64,141.79,2004,NONE,15.8,SAD69_23S,SURV,MIL5,MIL5,28_10_2004,28_10_2004,,MIL5-FD0521,BAU-MIL5-FD0521,BAU-MIL5-FD0521,BAU-MIL5-FD0521
BAU-MIL5-FD0522,803503_1971,188761.05,9636750.81,140.58,2004,NONE,15.25,SAD69_23S,SURV,MIL5,MIL5,25_10_2004,25_10_2004,,MIL5-FD0522,BAU-MIL5-FD0522,BAU-MIL5-FD0522,BAU-MIL5-FD0522
