BHID,DM,XCOLLAR,YCOLLAR,ZCOLLAR,YEAR,ZCONVERS,DEPTH,DATUMZON,SURVMETH,PROSPECT,SELMOD,STARTDATE,ENDDATE,COMMENTS,BHIDNICK,CHKLITHO,CHKASSAY,CHKSURVE
BAU-MIL5-FD0089,803503_1971,189369.9,9636751.38,130.88,2004,NONE,10.05,SAD69_23S,SURV,MIL5,MIL5,09_06_2004,09_06_2004,,MIL5-FD0089,BAU-MIL5-FD0089,BAU-MIL5-FD0089,BAU-MIL5-FD0089
BAU-MIL5-FD0090,803503_1971,189763.33,9636751.64,126.47,2004,NONE,7.85,SAD69_23S,SURV,MIL5,MIL5,09_06_2004,09_06_2004,,MIL5-FD0090,BAU-MIL5-FD0090,BAU-MIL5-FD0090,BAU-MIL5-FD0090
BAU-MIL5-FD0091,803503_1971,185360.93,9636350.24,143.03,2004,NONE,18.05,SAD69_23S,SURV,MIL5,MIL5,14_06_2004,14_06_2004,,MIL5-FD0091,BAU-MIL5-FD0091,BAU-MIL5-FD0091,BAU-MIL5-FD0091
BAU-MIL5-FD0092,803503_1971,185763.32,9636349.06,143.45,2004,NONE,15.65,SAD69_23S,SURV,MIL5,MIL5,14_06_2004,14_06_2004,,MIL5-FD0092,BAU-MIL5-FD0092,BAU-MIL5-FD0092,BAU-MIL5-FD0092
BAU-MIL5-FD0093,803503_1971,186164.49,9636351.09,144.82,2004,NONE,15.25,SAD69_23S,SURV,MIL5,MIL5,13_06_2004,13_06_2004,,MIL5-FD0093,BAU-MIL5-FD0093,BAU-MIL5-FD0093,BAU-MIL5-FD0093
BAU-MIL5-FD0094,803503_1971,186559.33,9636350.82,143.15,2004,NONE,16.85,SAD69_23S,SURV,MIL5,MIL5,11_06_2004,11_06_2004,,MIL5-FD0094,BAU-MIL5-FD0094,BAU-MIL5-FD0094,BAU-MIL5-FD0094
BAU-MIL5-FD0095,803503_1971,186962.05,9636350.26,136.55,2004,NONE,11.7,SAD69_23S,SURV,MIL5,MIL5,10_06_2004,10_06_2004,,MIL5-FD0095,BAU-MIL5-FD0095,BAU-MIL5-FD0095,BAU-MIL5-FD0095
BAU-MIL5-FD0096,803503_1971,187365.15,9636346.96,140.37,2004,NONE,16.5,SAD69_23S,SURV,MIL5,MIL5,10_06_2004,10_06_2004,,MIL5-FD0096,BAU-MIL5-FD0096,BAU-MIL5-FD0096,BAU-MIL5-FD0096
BAU-MIL5-FD0097,803503_1971,187759.34,9636345.65,142.49,2004,NONE,15.95,SAD69_23S,SURV,MIL5,MIL5,10_06_2004,10_06_2004,,MIL5-FD0097,BAU-MIL5-FD0097,BAU-MIL5-FD0097,BAU-MIL5-FD0097
BAU-MIL5-FD0098,803503_1971,188164.51,9636342.18,143.28,2004,NONE,15.75,SAD69_23S,SURV,MIL5,MIL5,10_06_2004,10_06_2004,,MIL5-FD0098,BAU-MIL5-FD0098,BAU-MIL5-FD0098,BAU-MIL5-FD0098
